Event ID,Timestamp,Source IP,Destination IP,User Agent,Attack Type,Attack Severity,Data Exfiltrated,Threat Intelligence,Response Action,Label
182,15233,7900,10652,12584,0,2,0,12665,1,1.0
9179,3008,11457,19465,1454,0,3,1,7243,1,0.0
12841,12080,17711,6968,1739,0,2,0,3809,0,0.0
10859,6709,7919,3272,5414,1,1,0,17041,3,0.0
18769,14291,490,16100,10266,1,2,0,1427,1,
3509,3968,4773,1542,9027,1,3,0,6948,2,0.0
13616,18742,8274,13885,5017,1,3,0,8720,1,
12440,5047,9679,16089,1816,1,2,0,14510,1,0.0
6997,5102,11939,19646,3927,1,1,0,6263,2,0.0
15244,5435,19381,5909,14328,0,0,0,3028,3,0.0
7748,9137,16761,12841,9006,0,0,0,9960,0,0.0
12730,4135,18408,837,13228,1,3,0,9738,1,0.0
2249,3785,13296,11082,1164,0,0,0,691,2,0.0
12709,13890,17939,16529,7215,0,3,0,9047,2,0.0
2864,19514,17535,1659,9211,0,0,0,8041,3,0.0
17694,1576,14524,575,9096,0,1,0,334,0,0.0
19530,15603,9411,2297,7133,1,1,0,7359,3,0.0
4747,7042,9581,16798,9336,1,2,0,7047,3,0.0
1046,5314,13463,13548,6057,1,2,0,10541,2,0.0
18832,18487,17277,14698,10239,1,0,0,10949,3,1.0
598,13097,6755,10417,12113,1,2,0,18262,0,0.0
12950,5451,11395,5136,1300,0,2,1,10441,2,0.0
13914,19279,5552,2172,9024,1,0,0,12938,1,0.0
8156,10870,8846,14787,15327,1,2,0,6739,0,0.0
7234,6135,7970,11362,12347,1,2,0,13971,0,0.0
331,3139,3751,19343,12065,0,2,0,842,1,0.0
6750,16995,15068,2290,9033,0,2,0,11717,0,0.0
17482,3127,18179,13798,9139,0,1,1,18522,3,1.0
5958,11492,18099,11401,349,0,1,0,8383,2,0.0
5107,16880,12971,10150,9204,0,0,0,243,3,0.0
17411,6564,14947,13436,15172,1,0,0,17850,3,1.0
4703,2425,5617,12458,6135,1,0,0,14165,3,
15660,7611,11538,5576,9389,0,0,0,18104,0,0.0
4923,14914,2996,12803,13156,1,1,0,10144,2,0.0
7853,2712,4844,14916,1252,0,2,0,19584,1,
14454,19694,17231,12925,3569,1,2,0,19961,1,0.0
14441,16430,9956,3774,7158,1,1,0,11049,1,0.0
16641,16477,9747,10063,13246,1,2,0,8729,2,0.0
18171,14253,3565,18459,5932,0,2,0,12203,2,
10473,11380,19626,6752,14976,1,0,0,698,1,0.0
8430,7505,15682,2700,1881,1,2,0,12367,0,
16816,9652,11802,1973,6307,0,1,1,10705,0,
12132,1797,3220,13072,15922,0,1,0,8782,3,0.0
5738,2245,17278,15007,11337,0,2,1,19649,0,1.0
14254,4272,9238,11075,1802,0,3,0,6767,2,0.0
10364,4726,2562,10607,7000,1,0,0,960,2,0.0
5605,2094,3729,5519,11993,0,0,0,1078,1,1.0
7713,13315,4770,14020,2784,0,3,0,4913,0,0.0
7433,3634,13192,7640,8005,1,2,0,9055,1,0.0
3768,18713,8637,4774,15479,1,3,0,15162,1,
15191,3190,9331,12207,9253,0,1,0,19394,0,0.0
17887,9081,19435,4261,15103,0,1,0,9664,2,0.0
8929,11074,17707,6035,10861,1,2,0,19881,3,
17097,19495,10001,10399,9311,0,2,0,18784,2,0.0
9397,4194,18699,7735,4710,1,2,0,1561,3,0.0
19652,2935,6273,19784,1210,1,3,0,1863,1,0.0
9606,1211,12266,271,3310,0,3,0,19589,2,0.0
14234,9256,1,10823,8468,1,2,0,10969,2,0.0
5538,6303,14238,13422,11290,1,0,0,3365,3,0.0
1816,649,8375,10396,4650,0,1,0,5014,0,0.0
18554,2157,13957,5880,10236,1,3,0,5110,2,0.0
18444,9947,4568,18662,1378,1,0,0,6503,3,
5327,19002,12545,2205,314,1,2,0,13520,3,
8975,19830,10054,19580,13076,0,0,0,5736,1,0.0
2194,11971,7889,10170,16054,0,3,0,11982,1,0.0
12634,18517,6367,11721,9264,0,2,0,5387,3,0.0
18505,16588,19196,9969,2534,0,1,0,13041,0,0.0
17988,14208,15244,6299,10356,1,2,0,11508,0,0.0
18170,5344,15413,2690,2721,0,1,1,2340,0,0.0
11359,14721,8303,3030,7891,0,3,0,8661,2,0.0
15238,12304,9035,3026,8003,1,0,0,6977,1,
8504,2726,1408,18009,7011,0,3,0,9380,1,
13178,9857,16873,10469,5371,0,0,1,19038,2,1.0
2697,11051,6304,8784,10723,0,1,0,6258,3,0.0
15883,2816,7693,16745,13088,0,1,0,398,0,0.0
4034,16185,13918,1618,6686,1,3,0,18565,0,
10682,13420,17405,12402,13642,1,2,0,10251,3,0.0
19249,13457,15182,14353,9175,0,2,0,4506,0,0.0
10771,1621,4633,13390,9344,1,0,0,12375,0,0.0
8624,16532,3233,18539,15964,0,3,0,19520,2,0.0
9873,7864,4699,13090,14410,1,2,0,2238,0,
