Event ID,Timestamp,Source IP,Destination IP,User Agent,Attack Type,Attack Severity,Data Exfiltrated,Threat Intelligence,Response Action,Label
17931,9474,10232,2396,9075,1,3,0,18569,1,0.0
18992,3999,2832,17438,4898,0,3,0,6120,2,0.0
6381,12060,13648,18194,11339,1,0,0,8749,3,1.0
19241,13059,11583,3807,9269,0,0,0,7641,0,0.0
3002,4710,3657,1069,15486,0,3,1,14596,3,0.0
1393,5028,18979,13283,1950,0,0,0,1754,2,0.0
18595,13840,10591,6957,3100,1,1,0,4266,1,0.0
4498,5948,1553,7333,599,0,3,0,17697,0,1.0
6542,11607,13939,6287,3724,1,3,0,19168,1,0.0
14519,11039,3820,1323,2776,1,1,0,2186,0,0.0
7220,13877,5918,18080,2388,0,2,0,1652,0,0.0
734,2237,18251,10236,10995,1,1,0,14427,2,0.0
18839,14463,1284,14609,15111,0,0,0,1785,0,0.0
10237,3916,4183,5138,14450,1,0,0,10888,3,0.0
17708,4427,9499,11697,9626,1,3,0,19304,3,0.0
1432,17093,5102,14318,873,0,3,1,5420,2,0.0
1930,8553,4986,504,11510,0,0,0,4999,1,0.0
10367,8498,10945,13890,12362,0,0,0,17380,2,0.0
18569,4331,3528,11110,10338,0,0,0,2061,3,0.0
14284,12586,18757,16222,10394,1,0,0,2533,3,0.0
13453,13035,16739,105,8428,0,2,0,17329,2,1.0
17966,10234,7720,14830,8597,0,2,0,17120,3,0.0
12494,10572,12793,10905,13459,0,0,0,6905,0,0.0
1547,15803,1220,14532,13260,0,3,0,17012,0,0.0
1004,11537,7834,19124,12858,0,2,0,5808,0,0.0
7763,8404,8082,15241,8904,0,3,0,14356,3,0.0
7632,16542,2530,11878,11611,1,3,0,16536,0,0.0
10529,16406,11943,14554,9140,0,1,0,17949,3,0.0
14217,6226,16407,5885,3805,0,0,0,5758,1,0.0
18844,17,9691,11069,9092,1,2,0,16368,1,0.0
2841,1964,14388,5095,1048,1,0,0,13210,0,1.0
7196,18883,1415,8061,2884,1,2,0,6708,3,0.0
19127,17411,10565,10980,10193,1,0,0,13797,1,0.0
16186,975,208,4140,9199,1,2,0,11868,3,0.0
11887,18150,8457,9727,1406,1,2,0,9130,3,0.0
1949,15405,7611,6807,14532,0,3,0,18730,1,0.0
3241,15838,3941,7655,14690,1,3,0,19135,3,0.0
1163,7518,14766,3189,3097,0,1,0,18248,2,0.0
6454,12745,2764,16024,3538,1,3,0,7984,1,0.0
3975,2416,9853,15261,9191,0,0,0,545,1,0.0
3105,15163,16305,1418,9279,0,3,0,1701,1,0.0
11432,11846,2538,5706,4952,1,0,1,11900,0,1.0
15164,16081,11935,11852,2751,0,0,0,2727,1,0.0
3202,18531,16884,12229,6551,0,2,0,17603,1,0.0
19580,3707,12402,92,6573,0,0,0,18934,3,0.0
14008,15660,12624,15396,5098,1,3,0,13344,0,0.0
13551,9152,7788,12392,679,1,2,1,13046,2,0.0
9616,18900,6958,14082,3525,0,1,0,8641,2,0.0
1772,15697,15621,19877,13939,0,3,0,14511,2,0.0
1519,17185,16720,817,9235,0,0,0,2737,3,0.0
18655,895,1246,12447,9356,0,3,0,2930,1,0.0
16161,14493,9858,143,11309,0,2,0,2794,0,0.0
6297,14372,14039,2506,4631,1,2,1,11994,3,0.0
14737,8271,7318,17223,9001,0,2,0,17273,3,0.0
19073,5322,14783,14374,7343,1,0,0,967,2,0.0
15907,2566,2880,13222,9259,1,1,0,2570,0,0.0
7788,13405,11564,12311,2365,0,3,0,19192,2,0.0
2505,3388,3188,3800,12429,0,2,0,942,2,0.0
11352,12289,13781,19743,9933,0,2,0,2691,2,0.0
13727,6614,3044,11950,1668,1,1,0,8953,3,0.0
16050,7239,6263,2527,9316,1,3,0,9116,1,0.0
6542,11607,13939,6287,3724,1,3,0,19168,1,0.0
4780,3342,5243,15148,4168,1,2,0,14476,1,0.0
5669,19975,19018,15102,2053,1,3,0,14235,1,0.0
13263,2998,11765,5152,10524,1,0,0,12072,0,0.0
14850,17343,9952,18532,11605,0,3,0,9228,1,0.0
9934,17410,4800,6365,9014,1,3,0,13389,3,1.0
6916,2563,16169,18509,13326,0,2,0,1764,0,1.0
19966,622,6830,16212,1281,1,0,0,13914,3,1.0
11774,18032,2027,599,2705,0,0,0,3527,3,0.0
13319,8112,15997,17418,4774,0,0,1,9067,3,1.0
14329,13635,301,3724,9217,0,1,0,1231,0,0.0
8890,17348,15468,3856,9991,0,3,0,16797,0,0.0
1365,19282,5378,12710,8325,1,0,0,8334,2,1.0
11234,14033,7137,18687,10561,1,0,0,16629,3,0.0
9094,5062,8825,19919,1962,0,0,1,14982,1,0.0
4825,675,8065,311,1274,0,1,0,13333,3,0.0
594,1760,16245,17449,4200,0,1,0,12532,1,1.0
3701,7479,1277,11795,15388,1,3,0,19217,2,0.0
13693,18924,13030,12247,8979,0,2,0,1990,0,0.0
9212,3572,19579,16848,3654,0,2,0,7265,1,0.0
17744,18144,4797,17196,1924,1,1,1,8652,0,0.0
19051,13368,8476,9597,9839,1,3,0,19203,2,0.0
4161,16051,19563,6906,6561,1,1,0,12240,0,0.0
11554,3614,19170,8845,769,1,2,0,8640,3,0.0
16643,13795,7254,17914,5964,1,0,0,19991,2,0.0
16006,19582,10456,7139,9243,1,3,0,13968,3,0.0
12896,9610,8230,4830,7050,1,2,0,5327,0,0.0
12316,7825,11434,19645,9337,1,1,0,5449,1,0.0
14330,7128,4001,19249,12414,0,2,1,2376,2,1.0
16865,1305,2177,14797,14922,1,2,0,3124,0,0.0
12179,6498,466,15523,15977,0,2,0,16098,0,0.0
7203,16423,5570,17281,279,0,1,0,19420,1,0.0
18645,6571,6438,2749,6912,1,1,0,1748,3,0.0
14563,1085,13699,11224,1518,0,1,0,17710,2,0.0
13128,5411,10623,8181,492,0,0,0,13684,2,0.0
4316,8008,6110,9017,6675,0,3,0,10993,2,0.0
13080,16372,9732,2604,3921,1,3,0,19683,1,0.0
12452,8425,6864,7130,12018,1,3,0,15059,3,0.0
12731,10813,11117,12209,9414,0,0,0,738,1,1.0
12858,5372,8191,5928,10416,1,0,0,14125,1,0.0
18086,16013,7515,3499,8553,0,0,0,18055,3,0.0
15370,1661,12697,19795,10372,1,2,0,10018,2,0.0
18954,15147,14167,2759,5201,1,1,0,15724,0,0.0
11527,1796,16138,10565,577,0,2,0,7269,0,0.0
319,12611,9420,3918,8994,0,1,0,13466,0,0.0
10397,66,16441,8759,16035,0,1,0,16177,3,0.0
4476,13832,6474,17168,50,1,2,1,3294,2,0.0
3552,10584,9134,9414,4060,0,0,0,9521,3,0.0
8609,3747,5652,18999,4947,0,2,0,11184,0,0.0
14719,7237,18874,13556,13347,0,0,0,13983,3,0.0
6227,7498,17279,4044,14422,1,0,0,8939,2,0.0
1475,364,12283,1139,594,1,3,0,15571,3,0.0
11966,1058,16496,6995,12908,0,2,0,6003,3,1.0
9371,3048,13205,12419,11050,1,2,0,15382,0,0.0
1363,19420,16950,13453,8162,1,1,0,15480,3,0.0
6549,13665,14782,12868,9094,1,2,0,3210,3,1.0
9544,4618,37,12820,2994,1,0,0,18067,1,0.0
19777,3934,6384,4731,9010,0,0,1,4062,0,0.0
12428,7036,19406,10671,10099,1,2,0,3828,2,1.0
13735,2434,853,16520,10259,0,0,0,14493,2,0.0
6033,2264,2595,18774,4943,1,1,0,368,1,0.0
17195,11955,15588,8685,10329,1,3,0,19268,2,0.0
415,11582,4030,2856,9167,1,1,1,4250,2,0.0
12172,12474,8304,15158,10375,0,3,0,18045,1,0.0
16297,18077,12547,5450,1941,1,1,0,13017,3,0.0
15215,19906,16778,19582,5374,0,0,0,5651,0,1.0
